id,treatment,age,female,black,hispanic,white,democrat,republican,trans_therm_t0,trans_therm_t1,trans_therm_t2,trans_therm_t3,trans_law_t3,responded_t1,responded_t3
24120,0,20,0,0,1,0,1,0,100,NA,NA,NA,NA,0,0
11465,0,48,0,0,1,0,0,0,50,NA,NA,NA,NA,0,0
8949,1,58,1,0,1,0,0,1,70,NA,NA,NA,NA,0,0
22911,1,57,0,0,1,0,0,0,40,NA,NA,NA,NA,0,0
45900,0,23,1,0,1,0,0,1,50,50,58,40,-1,1,1
53099,0,50,1,0,0,1,1,0,50,NA,NA,NA,NA,0,0
9451,0,19,0,0,1,0,1,0,33,NA,NA,NA,NA,0,0
14456,0,20,0,0,1,0,1,0,0,NA,NA,NA,NA,0,0
33017,0,49,0,0,1,0,0,0,50,NA,NA,NA,NA,0,0
66966,0,30,1,0,1,0,0,1,4,50,50,50,2,1,1
26848,0,71,1,0,1,0,1,0,1,NA,NA,NA,NA,0,0
67784,0,39,0,0,1,0,0,0,23,NA,NA,NA,NA,0,0
25775,1,53,0,0,1,0,0,1,50,50,50,50,-3,1,1
55470,1,66,1,0,1,0,0,0,10,0,12,29,0,1,1
61378,1,69,0,0,0,1,0,0,60,75,50,50,3,1,1
30103,0,85,1,0,1,0,0,1,23,NA,NA,NA,NA,0,0
